COUNT,FILE,Licence holder,,,,,,LOCATION,,COORDINATES,,DISTRCIT,GRANT NUMBER,,,,,,,,Expected Annual rental ,Expected renewal fee,YEARS IN ARREAR,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,NA,NA,Phalombe,GL 23/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,NA,NA,Phalombe,GL 24/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,800987,8265197,Phalombe,GL 25/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,NA,NA,Phalombe,GL 26/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,,,Phalombe,GL 27/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,800823,8264694,Phalombe,GL 28/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,,,Phalombe,GL 29/2020,5,30/03/2025,4/1/2020,NWRA, NA ,Borehole,Monitoring,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,800826,8265795,Phalombe,GL 30/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,802407,8265862,Phalombe,GL 33/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Namalima,,,,"P. O. Box 3027, Blantyre",Namalika,,800745,8260922,Phalombe,GL 920/2023,5,22/11/2028,23/11/2023,NWRA,5,Borehole,Domestic,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Maoni,,,,"P. O. Box 3027, Blantyre",Maoni,,801266,8264620,Phalombe,GL 921/2023,5,22/11/2028,23/11/2023,NWRA, NA ,Borehole,Ground water level monitoring,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Kathumba village,,,,"P. O. Box 3027, Blantyre",Maoni,,801310,8265333,Phalombe,,5,22/11/2028,23/11/2023,NWRA, NA ,Borehole,Ground water level monitoring,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Tanangale,,,,"P. O. Box 3027, Blantyre",Maoni,,798625,8263482,Phalombe,,5,22/11/2028,23/11/2023,NWRA, NA ,Borehole,Aquifer testing,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Maloya ,,,,"P. O. Box 3027, Blantyre",Sub TA Maoni,,799154,8264109,Phalombe,GL 922/2023,5,22/11/2028,23/11/2023,NWRA, NA ,Borehole,Aquifer testing,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Maloya ,,,,"P. O. Box 3027, Blantyre",Sub TA Maoni,,800246,8264060,Phalombe,GL 923/2023,5,22/11/2028,23/11/2023,NWRA,5,Borehole,Domestic,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Tanangale,,,,"P. O. Box 3027, Blantyre",Sub TA Maoni,,798348,8263017,Phalombe,GL 924/2023,5,22/11/2028,23/11/2023,NWRA, NA ,Borehole,Aquifer testing,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,Tanangale,,,,"P. O. Box 3027, Blantyre",Sub TA Maoni,,798277,8263211,Phalombe,GL 925/2023,5,22/11/2028,23/11/2023,NWRA, NA ,Borehole,Aquifer testing,,,,,,,,,,,,
Surface Water,WRA/1316,Lancaster  Exploration Ltd,"Pijo House, ZOMBA",Alex Mkango,0993145420/0999005322,alex@mkango.ca,NA,Nazombe,,802873,8264834,Phalombe,GL 36/2022,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1317,Detra -tech Steel Solutions,49/2/123,J.L Akuzike Tambala,0999557400/0999505000,emmachijil@yahoo.com,Box 30454,Bagdad,,NA,NA,Lilongwe,GL 32/2020,5,30/03/2025,4/1/2020,NWRA,4,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1318,Moses Gomani,Area Zebra ,Moses Gomani,0888799699/0999392819,NA,Box 508 ,"Area 49, Lilongwe",,580681,8461992,lilongwe,GL 38/2020,5,30/03/2025,4/1/2020,NWRA,4,Borehole,Construction & Irrigation,"20,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1319,Vitafoarm  (A) LTD,Maoni Industrial Park,NA,995855855,krunalvitafoamltd.com,Box 257,"Maone Industrial area, Blantyre",,713130,8247130,Blantyre,GL 39/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Industrial ,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1320,Mphonde Village ,Mphonde Village,Maliya Muwanga,991297504,NA,"Box 160,  Nsaru, Lilongwe","Nsaru, TA Kabudula ",,NA,NA,lilongwe,GL 40/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Industrial ,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1321,Josaph Jaffu ,Plot No: 68001,Joseph Jaffu,886488557/0999944213/0888748895,mlimienterprices@gmail.com,"Box 31733, Lilongwe","Ndwandwa, Mchinji",,NA,NA,Mchinji,GL 110/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1322,WAH Kong Construction Engineering Company,Area 42/10,NA,0999964358/0992937961,wuhkongmw@hotmail.com,Box 20137,"Area 42/10, Lilongwe",,NA,NA,Lilongwe,GL 114/2020,5,30/03/2025,4/1/2020,NWRA,2,Borehole,Construction,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1323,Mphambano FP School,"Mphambano Village, TA Kabudula",NA,0882236157/0999035741,NA,"Box 160,  Nsaru, Lilongwe","Mphambano Village, TA Kabudula",,552340,8469442,Lilongwse,GL 115/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1324,NUTRICOM Food and Beverages LTD,Njewa ,NA,NA,NA,Box 3091,Njewa ,,575373,8453450,Lilongwe,GL 117/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1325,Gwirize School,Nsalu,NA,999368904/0882388363,NA,"Box 51, Nsalu , Lilongwe","Gwirize, Nsalu, TA Kabudula",,555056,8469146,Lilongwe,GL 118/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1326,National Council for High Education,Area 47/Sector 2,NA,01755884/0999386677,NA,"Box 171, Lilongwe",Area 47/Sector 2,,NA,NA,Lilongwe,GL 119/2020,5,30/03/2025,4/1/2020,NWRA, NA ,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1327,Dr. Tarsizius Nampota,"plot no:278/11, Old Naisi Zomba",NA,NA,NA,"Box 150, Zomba","Old Naisi,  Zomba",,751627,8299968,Lilongwe,GL 123/2020,5,30/03/2025,4/1/2020,NWRA,5.4,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1328,Ollen Mwalubunju ,"Plot No: 2, Near Michulu Primary School",Ollen Mwalubunju,996617765,ollenmw@gmail.com,Box 2340,"Chikho Viilage, T/A Mwanza ",,NA,NA,Lilongwe,GL 124/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1329,Khama Holdings Sadzu Village,"Sadzu Village, Kalonga , Salima",Effie Tambala,0999940688/0999933117,effietambala@gmail.com,Box 30454,"Sadzu Village, Kalonga, Salima",,NA,NA,lilongwe,GL 125/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1330,Charles Lumanga,"Mataula Village, TA Bibi Kuluunda",Charles Lumanga,888340938,NA,"Box 30049, Lilongwe 3","Mataula Village, Salima",,NA,NA,Salima,GL 126/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1331,Austin and Alice Abillu,CR/MC/25,Austin and Alice,0999457580/0999981682,aabillu@gmail.com,"Box 30604, Lilongwe ","Kholoni Village, Mlonyeni",,NA,NA,Mchinji,GL 127/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1332,Orison and Jane Chaponda,Bweya Village ,Orison and Jane Chaponda,995739290/0888747913,tuntufyechaponda@yahoo.com,"Box 603, Mtunthama","Bweya Village, SUB TA Chinyama",,NA,NA,kasungu,GL 128/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Ofesi Health Centre,NA,NA,NA,Box 1175,"Kaomba Village, T/A Kacherekhwenya",,559637,8587113,kasungu,GL 142/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Kamboni Health Centre,NA,1756865,NA,"Box 1175, Lilongwe","Kachenje Village, T/A Kamboni",,534228,8528772,kasungu,GL 137/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Kaluluma Health Centre,NA,1756865,NA,"Box 1175, Lilongwe","Kaluluma Village, T/A kaluluma",,556296,8609255,kasungu,GL 134/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Kapenda Health Centre,NA,1756865,NA,"Box 95, Chitipa","Mwaulambia, Chitipa",,527377,8950529,Lilongwe,GL 130/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Santhe Health Centre,NA,1756865,NA,"Box 1175, Lilongwe","Santhe , Kasungu",,542633,8511230,kasungu,GL 132/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Santhe Health Centre,NA,1756865,NA,"Box 1175, Lilongwe","Santhe , Kasungu",,537186,8500141,Lilongwe,GL 133/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Kasungu District Hospital,NA,1756865,NA,"Box 1175, Lilongwe","Kaombe, Kasungu",,552110,8558752,kasungu,GL 135/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Khola Health centre,NA,1756865,NA,"Box 1175, Lilongwe","Kawamba, Kasungu",,534228,8524644,kasungu,GL 140/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Mnyanja Health Centre,NA,1756865,NA,"Box 1175, Lilongwe","Mnyanja TA, Kasungu",,552770,8593820,kasungu,GL 138/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1333,Cowater Sogema,Kawamba Health Centre,NA,1756865,NA,"Box 1175, Lilongwe","Kawamba, Kasungu",,536773,8530014,kasungu,GL 136/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1334,Petroda Malawi LTD,Nachambo,NA,01876913/0998082114/01875586,bilal@petrodamw.com,Box 726,"Nachamba, Mlumbe",,NA,NA,Blantyre,NA,5,30/03/2025,4/1/2020,NWRA,400,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1334,Petroda Malawi LTD,Chisani,NA,01876913/0998082114/01875586,bilal@petrodamw.com,Box 726,"Chisani, Salima",,NA,NA,Salima,GL 143/2020,5,30/03/2025,4/1/2020,NWRA,15,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1343,Petuloduwa Kaombe - Kaombe Irrigation Scheme,Plot no: 141 Area 28 ,NA,1713952/0999361 757,NA,Box 31245,"Petuloduwe, Mphonde Nkhotakota",,NA,NA,Nkhotakota,GL 152/2020,5,30/03/2025,4/1/2020,NWRA,"1,749.60",Borehole,Irrigation,"29,082.03", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1335,Macleod Gibson Nyelongo,"Peak Gardens, plot No: 41/5",Macleod Nyelongo,881282870,macleod.nyelongo@gmail.com,Box 30211,"Behind area 12, Lilongwe",,588296,8456996,Lilongwe,GL 144/2020,5,30/03/2025,4/1/2020,NWRA,15,Borehole,Fire fighting,"10,000.00", -   ,NO,YES,YES,YES,,,,,,
Surface Water,WRA/1336,Dr Alender Bulirani,Area 47/3/44,DR Bulirani,01789052/0991572682,bulirani@gmail.com,Box 30134,"Area 47, Lilongwe",,NA,NA,Lilongwe,GL 145/2020,5,30/03/2025,4/1/2020,NWRA,1,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1337,Lilongwe Mechanic Development LTD,Area 38,NA,NA,NA,"Area 38, Lilongwe",Lilongwe,,583730,8555781,Lilongwe,GL 146/2020,5,30/03/2025,4/1/2020,NWRA,12,Borehole,Construction,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1338,Department of Printing Services ,Area 4,NA,01755904/0999915045,cps@sdup.org.mw,"Area 4, Lilongwe",Lilongwe,,NA,NA,Lilongwe,GL 147/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Industrial,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1339,Shane Ishmael Phiri,"Maloya Village, Mangochi",Shane Phiri,0996376838/0888345642,shanephiri@yahoo.com,"Box 5041, Limbe, Blantyre","Maloya Village, TA Nankumba",,583730,8455781,Mangochi,GL 148/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1341,Ethel Kansawa Chimpeni,CR/KK/151/56,Ethel Chimpeni,993866530,eskchimpeni@gmail.com,"Box 2728, Blantyre","Mtapawoka Village, TA Mwadzama",,NA,NA,Nkhotakota,GL 150/2020,5,30/03/2025,4/1/2020,NWRA,276,Borehole,Irrigation,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1342,CHCI LTD,47/733/4,Peter Mtsukwa,999712347/0991132825,petermtsukwa@gmail.com/251231901@qq.com,NA,"Kazimbe Village, TA Kalonga",,NA,NA,Salima,GL 151/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,industrial,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1344,Dadi Investments LtD ,32/24,NA,999471448,ygren2000@hotmail.com,"Box 119, Lilongwe","32/24, Lilongwe",,NA,NA,lilongwe,GL 153/2020,5,30/03/2025,4/1/2020,NWRA,4,Borehole,Construction,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1345,Baseflow ,"Jordan Village, Blantyre",Mervis Dickson,995458660,info@baseflowmw.com,"Box 30467, Blantyre","Jorden Village , TA Lundu",,NA,NA,Blantyre,GL 155/2020,5,30/03/2025,4/1/2020,NWRA,13,Borehole,Domestic and Fisheries,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Chilanga CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Balaka, T/A Amidu",,NA,NA,Balaka,GL 156/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic ,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Mzimundilinde CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Balaka, T/A Kalembo",,NA,NA,Balaka,GL 157/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Mwalasi CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Balaka, T/A Nsamala",,NA,NA,Balaka,GL 159/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Mzimundilinde CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Machinga, Nyambi",,NA,NA,Balaka,GL 158/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Nambaiko CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Machinga, Mlomba",,NA,NA,Machinga,GL 163/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Njerenje CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Balaka, TA Nkaya",,NA,NA,Balaka,GL 164/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Namikombe CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Balaka, T/A Nsamala",,NA,NA,Balaka,GL 161/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Namichere CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Balaka, T/A Nsamala",,NA,NA,Balaka,GL 162/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Ntalala CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Machinga, TA Nchunguza",,NA,NA,Machinga,GL165/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1346,Save the Children ,Mpherembe CDSS,Tisaiwale Chimphamba,1762667/0999955508,tisaiwale.chimphamba@savethechildren.org,"Box 30374, Lilongwe","Mzimba , TA Mpherembe",,NA,NA,Mzimba,GL 160/2020,5,30/03/2025,4/1/2020,NWRA,5,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1347,Jenda WUA,Mabulabo ,NA,0995500807/0881643873,NA,"Box 4, Champhira, Mzimba","Champhira, Mzimba",,561919,8635121,Mzimba,GL 168/2020,5,30/03/2025,4/1/2020,NWRA,56,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1347,Jenda WUA,Mabulabo ,NA,0995500807/0881643873,NA,"Box 4, Champhira, Mzimba","Champhira, Mzimba",,561893,8635019,Mzimba,GL 166/2020,5,30/03/2025,4/1/2020,NWRA,21.6,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1347,Jenda WUA,Mabulabo ,NA,0995500807/0881643873,NA,"Box 4, Champhira, Mzimba","Champhira, Mzimba",,561987,8635059,Mzimba,GL 167/2020,5,30/03/2025,4/1/2020,NWRA,43.2,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1348,Kitty Doris Chingota,"Daniel Village, TA Kapeni",NA,999952126,kchingota@gmail.com,"Box 2047, Blantyre","Daniel Village, TA Kapeni, Mpemba",,713130,8247130,Blantyre,Gl 169/2020,5,30/03/2025,4/1/2020,NWRA,15,Borehole,Domestic,"10,000.00", -   ,NO,YES ,YES ,YES ,,,,,,
Surface Water,WRA/1349,Airport development LTD (ADL),Lumbudzi ,NA,NA,NA,NA,"Lumbadzi, lilongwe",,NA,NA,Lilongwe,GL 176/2020,5,30/03/2025,4/1/2020,NWRA,10,Borehole,Domestic,"10,000.00", -   ,NO,NO,NO,NO,,,,,,
Surface Water,WRA/1381,JTI Malawi,Bisa Village,NA,999975911,NA,"Box 40012, Lilongwe","Bisa Village, TA Mpatsankhuli",,797378,8370344,lilongwe,GL833/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Ng'ombe Village,NA,999975911,NA,"Box 40012, Lilongwe","Ng'ombe Village, TA Masula",,577908,8420168,lilongwe,GL835/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Chinkumbula Village,NA,999975911,NA,"Box 40012, Lilongwe","Chinkumbula Village, TA Chitukula",,582344,8472176,lilongwe,GL825/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,NA,NA,999975911,NA,"Box 40012, Lilongwe","TA Chitukula, Lilongwe",,579319,8474865,lilongwe,GL822/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Fisi Village,NA,999975911,NA,"Box 40012, Lilongwe","Fisi village, Lilongwe",,564391,8468229,lilongwe,GL814/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Kabondo Village,NA,999975911,NA,"Box 40012, Lilongwe","Kabondo Village, TA Malembo",,543465,8497929,lilongwe,GL816/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Msungamoyo Village,NA,999975911,NA,"Box 40012, Lilongwe","Msungamoyo Village, TA MKUKULA",,543348,8482886,lilongwe,GL852/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Msunga Primary School,NA,999975911,NA,"Box 40012, Lilongwe","Msunga Primary school, Lilongwe",,564106,8447140,lilongwe,GL853/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Msungamoyo Village,NA,999975911,NA,"Box 40012, Lilongwe","Msungamoyo Village, TA MKUKULA",,602218,8483929,lilongwe,GL854/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Kaphande Village,NA,999975911,NA,"Box 40012, Lilongwe","Kaphande Village, TA Chilaza",,549560,8455842,lilongwe,GL855/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Kamluluka Village,NA,999975911,NA,"Box 40012, Lilongwe","Kamluluka Village, TA Masula",,549558,8455839,lilongwe,GL856/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Kasonda Village,NA,999975911,NA,"Box 40012, Lilongwe","Kasonda Village, TA Kaphuka",,629693,8435581,lilongwe,GL857/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Mseche Village,NA,999975911,NA,"Box 40012, Lilongwe","Mseche Village, TA Kabudula",,564236,8467062,lilongwe,GL849/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Mgundeni Village,NA,999975911,NA,"Box 40012, Lilongwe","Mgundeni Village, TA Chitukula",,582620,8473306,lilongwe,GL845/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Mdinga Village,NA,999975911,NA,"Box 40012, Lilongwe","Mdinga Village, TA Kalolo",,549798,8455973,lilongwe,GL844/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
Surface Water,WRA/1381,JTI Malawi,Chimwala Village,NA,999975911,NA,"Box 40012, Lilongwe","Chimwala Village, TA Masula",,579924,8420715,lilongwe,GL186/2021,5,12/6/2026,12/7/2021,NWRA,10,Borehole,Domestic, -   , -   ,,,,,,,,,,
